,Unnamed: 0,pubchem id,common name,flavor profile
0,0.0,4,1-Aminopropan-2-ol,{'fishy'}
1,1.0,49,3-Methyl-2-oxobutanoic acid,{'fruity'}
2,2.0,58,2-oxobutanoic acid,"{'sweet', 'creamy', 'caramel', 'lactonic', 'brown'}"
3,3.0,70,4-Methyl-2-oxovaleric acid,{'fruity'}
4,4.0,72,"3,4-Dihydroxybenzoic Acid","{'mild', 'balsamic', 'phenolic'}"
5,5.0,107,3-Phenylpropanoic acid,"{'sweet', 'cinnamon', 'balsamic', 'rose', 'musk', 'fatty'}"
6,6.0,125,4-hydroxybenzyl alcohol,"{'sweet', 'bitter', 'fruity', 'coconut', 'almond'}"
7,7.0,126,4-hydroxybenzaldehyde,"{'nutty', 'sweet', 'balsam', 'almond', 'woody'}"
8,8.0,135,4-Hydroxybenzoic Acid,"{'nutty', 'phenolic'}"
9,9.0,176,acetic acid,"{'pungent', 'vinegar', 'sour', 'sharp'}"
10,10.0,177,acetaldehyde,"{'ether', 'pungent', 'whiskey', 'fruity', 'ethereal', 'aldehydic'}"
11,11.0,178,acetamide,{'mousy'}
12,12.0,179,acetoin,"{'cream', 'sweet', 'creamy', 'milky', 'butter', 'dairy', 'buttery', 'fatty'}"
13,13.0,180,acetone,"{'solvent', 'ethereal', 'pear', 'apple'}"
14,14.0,196,adipic acid,{'odorless'}
15,15.0,240,benzaldehyde,"{'burnt sugar', 'sweet', 'sharp', 'bitter', 'cherry', 'almond', 'strong'}"
16,16.0,243,benzoic acid,"{'balsam', 'urine', 'faint'}"
17,17.0,244,benzyl alcohol,"{'sweet', 'berry', 'floral', 'walnut', 'cherry', 'balsamic', 'phenolic', 'rose', 'flower', 'grapefruit'}"
18,18.0,247,betaine,{'bland'}
19,19.0,261,butyraldehyde,"{'vegetable', 'fruity', 'meaty', 'creamy', 'apple', 'cocoa', 'spicy', 'wine_like', 'musty', 'fatty', 'nutty', 'pungent', 'malty', 'bready', 'green', 'floral', 'earthy', 'herbaceous', 'pear', 'chocolate', 'citrus', 'woody'}"
20,20.0,262,"2,3-butanediol","{'creamy', 'fruit', 'onion', 'fruity', 'buttery'}"
21,21.0,263,1-butanol,"{'sweet', 'medicinal', 'vanilla', 'medicine', 'fruit', 'fusel', 'balsam', 'oil'}"
22,22.0,264,butyric acid,"{'sharp', 'fruit', 'rancid', 'acetic', 'butter', 'cheese', 'sweat'}"
23,23.0,284,formic acid,"{'pungent', 'vinegar', 'formyl'}"
24,24.0,309,Aconitic Acid,"{'nutty', 'musty', 'very mild'}"
25,25.0,311,citric acid,{'odorless'}
26,26.0,313,hydrochloric acid,{''}
27,27.0,323,coumarin,"{'sweet', 'green', 'bitter', 'tonka', 'new mown hay'}"
28,28.0,325,4-isopropylbenzyl alcohol,"{'leather', 'cumin', 'herbal', 'spicy', 'herb', 'caraway', 'strong', 'wood'}"
